"","Parameter","Type","Unit","Protocols","Description","Sources","Protocols count"
"1","ident","string","","[1,5,7,9,11,13,14,15,16,17,20,22,23,24,25,26,30,33,34,35,37,38,39,42,43,44,45,46,80,81,82,116,117,118,119,120,122,123,125,191,192,193,194,199,200,233,234,235,236,237,238,239,240,241,242,243,244,245,249,250,252,253,254,287,289,290,291,292,293,294,295,296,297,298,308,309,310,316,317,318,319,320,321,324,325,326,361,362,395,396,398,399,402,403,404,405,406,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,425,433,435,436,437,439,440,441,442,443,476,510,511,512,513,514,515,516,517,518,552,553,554,555,556,557,603,608,617,621,622,660,720,725,767,776,810,815,826,849,850,865,870,872,914,919,930]","Device unique identifier like serial number, IMEI, etc","{""238"":[""esn""],""403"":[""serialNumber""],""406"":[""objectuid""],""555"":[""esn""]}",160
"2","timestamp","number","seconds","[1,5,7,9,11,13,14,15,16,17,20,22,23,24,25,26,30,33,34,35,37,38,39,42,43,44,45,46,80,81,82,116,117,118,119,120,122,123,125,191,192,193,194,199,200,233,234,235,236,237,238,239,240,241,242,243,244,245,249,250,252,253,254,287,289,290,291,292,293,294,295,296,297,298,308,309,310,316,317,318,319,320,321,324,325,326,361,362,395,396,398,399,402,403,404,405,406,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,425,433,435,436,437,439,440,441,442,443,476,510,511,512,513,514,515,516,517,518,552,553,554,555,556,557,603,608,617,621,622,660,720,725,767,776,810,815,826,849,850,865,870,872,914,919,930]","Message timestamp","{""5"":[""Command ID 0x01"",""Command ID 0x05"",""Command ID 0x0B"",""Command ID 0x0E"",""Command ID 0x23"",""Command ID 0x26"",""Command ID 0x44""],""7"":[""#B"",""#D"",""#SD""],""9"":[""Command type AAA"",""Command type CCC"",""Command type CCE with Parameter ID 0x04"",""Command type CFF with Parameter ID 0x04""],""13"":[""Extension ID 0x64 of Message ID 0x0200"",""Extension ID 0x65 of Message ID 0x0200"",""Message ID 0x0200"",""Message ID 0x0300"",""Message ID 0x0801"",""Message subtype 0x17 of Transparent message type 0xF0 of Message ID 0x0900"",""Protocol Number 0x10"",""Protocol Number 0x11"",""Protocol Number 0x12"",""Protocol Number 0x15"",""Protocol Number 0x16"",""Protocol Number 0x18"",""Protocol Number 0x22"",""Protocol Number 0x26"",""Protocol Number 0x27"",""Protocol Number 0x28"",""Protocol Number 0x2C"",""Protocol Number 0x32"",""Protocol Number 0x33"",""Protocol Number 0x37"",""Protocol Number 0x38"",""Protocol Number 0x39"",""Protocol Number 0x70"",""Protocol Number 0x8E"",""Protocol Number 0x94 with Information Type 0x58"",""Protocol Number 0x95"",""Protocol Number 0x9C"",""Protocol Number 0xA0"",""Protocol Number 0xA1"",""Protocol Number 0xA2"",""Protocol Number 0xA3"",""Protocol Number 0xA4"",""Protocol Number 0xA9"",""Protocol Number 0xB0"",""Protocol Number 0xB2"",""Protocol Number 0xC3"",""Protocol Number 0xF0"",""Protocol Number 0xF1"",""Protocol Number 0xF2"",""Protocol Number 0xFE"",""Transparent message type 0xF0 of Message ID 0x0900"",""Type 0x0003 of Transparent message type 0xF3 of Message ID 0x0900"",""Type 0x0004 of Transparent message type 0xF3 of Message ID 0x0900"",""Type 0x0005 of Transparent message type 0xF3 of Message ID 0x0900""],""14"":[""Command type 0x06"",""Command type 0x10""],""16"":[""Tag 0x20"",""Tag 0x21""],""20"":[""Message Type 0"",""Message Type 11"",""Message Type 9"",""Module 30"",""Module 6"",""Module 7""],""23"":[""Message Type 7"",""Parameter #EDI#"",""Parameter #EDT#""],""24"":[""Data field %RT""],""30"":[""Message ID 0x0200""],""33"":[""Data ID 121"",""Data ID 122"",""Report GTMTD"",""Report GTTRD""],""34"":[""GNSSPosition.PositionDateTime"",""TimePosition""],""38"":[""Event 4001"",""Event 4001...4005"",""Event 4002"",""Event 4003"",""Event 4004"",""Event 4005"",""Event 4006"",""Event 4012"",""Event 6001"",""Event 6001...6003"",""Event 6002"",""Event 6004"",""Event 6005"",""Event 6005...6008"",""Event 6005...6010"",""Event 6005...6014"",""Event 6009"",""Event 6010"",""Event 6011"",""Event 6012"",""Event 6012...6014"",""Event 6013"",""Event 6014"",""Event 6015"",""Event 6016...6018"",""Event 6016...6020"",""Event 6023...6025"",""Event 6027"",""Event 6030...6032"",""Event 6034"",""Event 6035"",""Event 6036"",""Event 6037...6043"",""Event 6044"",""Event 6045"",""Event 6048"",""Event 6049"",""Event 6070...6076"",""Event 6070...6079"",""Event 6071"",""Event 6073"",""Event 6076"",""Event 6079"",""Event 6084"",""Event 6085"",""Event 6090...6093"",""Event 6092"",""Event 6093"",""Param ID 0x06 (Binary protocol)""],""42"":[""Message Type 10"",""Message Type 11"",""Message Type 12"",""Message Type 14"",""Message Type 2"",""Message Type 4"",""Message Type 5"",""Message Type 8"",""Message Type 9""],""43"":[""p725:Header/p725:VehicleTimestamp""],""81"":[""report column ID 2"",""report column ID 36""],""119"":[""Message Type 0x0001"",""Message Type 0x0011"",""Message Type 0x31""],""120"":[""Message Type 0x02"",""Message Type 0x04"",""Message Type 0x05"",""Message Type 0x06"",""Message Type 0x07"",""Message Type 0x09"",""Message Type 0x10"",""Message Type 0x11"",""Message Type 0x12"",""Message Type 0x13"",""Message Type 0x14"",""Message Type 0x15"",""Message Type 0x16"",""Message Type 0x17"",""Message Type 0x18"",""Message Type 0x21"",""Message Type 0x22"",""Message Type 0x23"",""Message Type 0x24"",""Message Type 0x25"",""Message Type 0x27"",""Message Type 0x44"",""Message Type 0x62"",""Message Type 0x64""],""123"":[""Data type id: 0x00 of Message ID 0x0020"",""Data type id: 0x01 of Message ID 0x0020"",""Data type id: 0x02 of Message ID 0x0020"",""Data type id: 0x03 of Message ID 0x0020"",""Data type id: 0x04 of Message ID 0x0020"",""Data type id: 0x05 of Message ID 0x0020"",""Data type id: 0x07 of Message ID 0x0020"",""Data type id: 0x08 of Message ID 0x0020"",""Message ID 0x64 of Message type 0x20"",""Message ID 0x65 of Message type 0x20"",""Message ID 0x66 of Message type 0x20"",""Message ID 0x67 of Message type 0x20"",""Message ID 0x68 of Message type 0x20"",""Message ID 0x69 of Message type 0x20"",""Message ID 0x6A of Message type 0x20""],""125"":[""ALT Report"",""Alert Report"",""EMG Report"",""EVT Report"",""Emergency Report"",""HTE Report"",""Location Report"",""NBR Report Header"",""OVD Report Header"",""PID Report"",""STT Report"",""TCR Report Header"",""UEX Report""],""193"":[""Protocol ID 0x1001"",""Protocol ID 0x1002"",""Protocol ID 0x4001"",""Protocol ID 0x4002"",""Protocol ID 0x4003"",""Protocol ID 0x4004"",""Protocol ID 0x4005"",""Protocol ID 0x4006"",""Protocol ID 0x4007"",""Protocol ID 0x4008"",""Protocol ID 0x4009"",""Protocol ID 0x400B"",""Protocol ID 0x400C"",""Protocol ID 0x400D"",""Protocol ID 0x401F""],""200"":[""Instruction type B0"",""Instruction type D0"",""Instruction type D1"",""Instruction type D3"",""Instruction type L0"",""Instruction type L1"",""Instruction type Q38""],""234"":[""Report ACK"",""Report BUFF"",""Report EV"",""Report RESP""],""238"":[""timeInGMTSecond""],""239"":[""timestamp""],""241"":[""time""],""249"":[""EID 0x001""],""250"":[""CSRC 2 of Payload type 22"",""CTIME of PARAMETER of OPERATION UPLOADMDVRDRVINFO of Payload type 0"",""CURRENTTIME of PARAMETER of OPERATION SENDALARMINFO of Payload type 0"",""CURRENTTIME of PARAMETER of OPERATION UPLOADDRIVERINFO of Payload type 0"",""DATETIME of PARAMETER of OPERATION UPLOADMDVRSPINFO of Payload type 0"",""Payload type 17"",""Payload type 2"",""Payload type 4"",""TIMESTAMP of PARAMETER of OPERATION UPDATEIOSTATUSINFO of Payload type 0"",""info type 1 of Payload type 17"",""info type 4 of Payload type 17""],""252"":[""Message ID 0x0200"",""Message ID 0x0202"",""Message ID 0x0211"",""Message ID 0x0704"",""Message ID 0x0900 with Transparent message 0xF1"",""Message ID 0x0900 with Transparent message 0xF2""],""254"":[""Command 0x01 with Key 0x02"",""Command 0x01 with Key 0x19"",""Command 0x01 with Key 0x20"",""Command 0x01 with Key 0x21"",""Command 0x01 with Key 0x22"",""Command 0x01 with Key 0x23"",""Command 0x01 with Key 0x24"",""Command 0x01 with Key 0x25"",""Command 0x01 with Key 0x26"",""Command 0x01 with Key 0x27"",""Command 0x01 with Key 0x28"",""Command 0x01 with Key 0x29"",""Command 0x01 with Key 0x2A"",""Command 0x01 with Key 0x2B"",""Command 0x01 with Key 0x2C"",""Command 0x01 with Key 0x30"",""Command 0x01 with Key 0x31"",""Command 0x01 with Key 0x32"",""Command 0x01 with Key 0x33"",""Command 0x01 with Key 0x34"",""Command 0x01 with Key 0x35"",""Command 0x01 with Key 0x40"",""Command 0x01 with Key 0x41"",""Command 0x01 with Key 0x60"",""Command 0x01 with Key 0x61"",""Command 0x01 with Key 0x62"",""Command 0x01 with Key 0x64"",""Command 0x01 with Key 0x66"",""Command 0x01 with Key 0x67"",""Command 0x03 with Key 0x24""],""291"":[""Binary packet $"",""Command *V1"",""Command *V4"",""Command *V5"",""Command *V6"",""Command *V8"",""Message ID 0x0200"",""Message ID 0x0704""],""298"":[""Message ID 0x0200""],""319"":[""Packet item number 36"",""Packet item number 39"",""Packet item number 69""],""325"":[""Message ID 0x0200"",""Message ID 0x0202"",""Message ID 0x0203"",""NBR Command"",""Protocol Number 0x22"",""Protocol Number 0x26"",""Protocol Number 0x27"",""Protocol Number 0x28"",""V1 Command""],""395"":[""eventtime""],""396"":[""IO ID 1""],""403"":[""eventDate"",""lastEventDate""],""413"":[""Message Type 0x0011"",""Message Type 0x1041"",""Message Type 0x1051""],""415"":[""Protocol Number 0x10"",""Protocol Number 0x11"",""Protocol Number 0x17"",""Protocol Number 0x18"",""Protocol Number 0x19"",""Protocol Number 0x69""],""417"":[""Message ID 0x0200"",""Message ID 0x0900""],""418"":[""Protocol Number 0x12"",""Protocol Number 0x15"",""Protocol Number 0x16"",""Protocol Number 0x22""],""419"":[""JT709 sensor data"",""Report type P45""],""420"":[""Protocol Number 0x15"",""Protocol Number 0x16"",""Protocol Number 0x24""],""422"":[""Message ID 0x0200"",""Message ID 0x0900""],""423"":[""Report RGP"",""Report RTT"",""Report RUV00"",""Report RUV01"",""Report RUV03"",""Report RUV04""],""425"":[""Message type 0x04""],""433"":[""Protocol Number 0x22"",""Protocol Number 0x26"",""Protocol Number 0x28"",""Protocol Number 0x31"",""Protocol Number 0x32""],""437"":[""Information Element 0x02""],""441"":[""Command *V1"",""Command *V2"",""Command *V3"",""Command *V5"",""Message ID 0x0200"",""Protocol Number 0x12"",""Protocol Number 0x16"",""Protocol Number 0x22""],""442"":[""Command key word AM"",""Command key word CC"",""Command key word DW"",""Command key word HB""],""443"":[""Protocol number 0x12"",""Protocol number 0x16"",""Protocol number 0x22"",""Protocol number 0x32""],""476"":[""Protocol Number 0x12"",""Protocol Number 0x15"",""Protocol Number 0x16"",""Protocol Number 0x22"",""Protocol Number 0x24"",""Protocol Number 0x26""],""510"":[""Protocol Number 0x22"",""Protocol Number 0x24"",""Protocol Number 0x26"",""Protocol Number 0x31"",""Protocol Number 0x32"",""Protocol Number 0x34""],""511"":[""CMD ID 0x0003"",""CMD ID 0x0008"",""CMD ID 0x0032"",""CMD ID 0x8009""],""512"":[""tstamp""],""513"":[""Message ID 0x0200"",""Message ID 0x0900""],""515"":[""Event type 'metadata' of Pub type 'events'"",""Event type 'videoCaptured' of Pub type 'events'""],""516"":[""TGU-R ID 100"",""TGU-R ID 108""],""517"":[""HEX format Payload(Type=0)""],""518"":[""Data type AA"",""Data type AB"",""Data type AC"",""Data type E2""],""552"":[""Additional info ID 0x64"",""Additional info ID 0x65"",""Additional info ID 0x67"",""Message ID 0x0200"",""Message ID 0x0702"",""Message ID 0x0801"",""Message ID 0x1212""],""553"":[""Packet head DFI"",""Packet head LDP"",""Packet head RPT""],""555"":[""timestamp""],""556"":[""snapshotData.gnssPosition.positionDateTime""],""557"":[""Message header""],""608"":[""Addition data A"",""Function GB"",""Function GD"",""Function GT"",""Report type 4 of Function RP"",""Report type 7 of Function RP""],""617"":[""event.date""],""621"":[""timestamp""],""660"":[""Protocol Number 0x12"",""Protocol Number 0x16"",""Protocol Number 0x22""],""720"":[""snapshotData.gnssPosition.positionDateTime""],""767"":[""Data type major 0x00"",""Data type major 0x01"",""Data type major 0x02"",""Data type major 0x03"",""Data type major 0x04"",""Data type major 0x05""],""776"":[""Message ID 0x0200"",""Message ID 0x0702""],""810"":[""Tag 0x2095 of Frame Type 0x0101"",""Tag 0x2095 of Frame Type 0x0102"",""Tag 0x2095 of Frame Type 0x0103"",""Tag 0x2095 of Frame Type 0x0104"",""Tag 0x2096 of Frame Type 0x0101"",""Tag 0x2096 of Frame Type 0x0102"",""Tag 0x2096 of Frame Type 0x0103"",""Tag 0x2096 of Frame Type 0x0104"",""Tag 0x2130 of Frame Type 0x0101"",""Tag 0x2130 of Frame Type 0x0102"",""Tag 0x2130 of Frame Type 0x0103"",""Tag 0x2130 of Frame Type 0x0104"",""Tag 0x23A3 of Frame Type 0x0101"",""Tag 0x23A3 of Frame Type 0x0102"",""Tag 0x23A3 of Frame Type 0x0103"",""Tag 0x23A3 of Frame Type 0x0104""],""815"":[""Property ts""],""826"":[""Report RTH"",""Report RTT""],""850"":[""Additional info ID 0x64"",""Additional info ID 0x65"",""Additional info ID 0x66"",""Additional info ID 0x67"",""Additional info ID 0x70"",""Message ID 0x0200"",""Message ID 0x0702"",""Message ID 0x0801"",""Message ID 0x1212""],""865"":[""Additional info ID 0x64"",""Additional info ID 0x65"",""Additional info ID 0x67"",""Additional info ID 0x70"",""Message ID 0x0200"",""Message ID 0x0801"",""Message ID 0x1212""],""914"":[""Attribute ID 0 of Data subtype 0x02 of Data type 0x04"",""Attribute ID 0 of Data subtype 0x03 of Data type 0x04"",""Attribute ID 0 of Data subtype 0x04 of Data type 0x04"",""Attribute ID 0 of Data subtype 0x05 of Data type 0x04"",""Data subtype 0x00 of Data type 0x02"",""Data subtype 0x00 of Data type 0x04"",""Data subtype 0x01 of Data type 0x01"",""Data subtype 0x01 of Data type 0x02"",""Data subtype 0x01 of Data type 0x04"",""Data subtype 0x02 of Data type 0x01"",""Data subtype 0x02 of Data type 0x02"",""Data subtype 0x0D of Data type 0x04"",""Data subtype 0x0F of Data type 0x04"",""Frame type 0x01"",""Frame type 0x0C""],""919"":[""Additional info ID 0x64"",""Additional info ID 0x65"",""Additional info ID 0x67"",""Message ID 0x0200"",""Message ID 0x0702"",""Message ID 0x0801"",""Message ID 0x1212""]}",160
"3","channel.id","number","","[1,5,7,9,11,13,14,15,16,17,20,22,23,24,25,26,30,33,34,35,37,38,39,42,43,44,45,46,80,81,82,116,117,118,119,120,122,123,125,191,192,193,194,199,200,233,234,235,236,237,238,239,240,241,242,243,244,245,249,250,252,253,254,287,289,290,291,292,293,294,295,296,297,298,308,309,310,316,317,318,319,320,321,324,325,326,361,362,395,396,398,399,402,403,404,405,406,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,425,433,435,436,437,439,440,441,442,443,476,510,511,512,513,514,515,516,517,518,552,553,554,555,556,557,603,608,617,621,622,660,720,725,767,776,810,815,826,849,850,865,870,872,914,919,930]","ID of channel that received a message","{}",160
"4","peer","string","","[1,5,7,9,11,13,14,15,16,17,20,22,23,24,25,26,30,33,34,35,37,38,39,42,43,44,45,46,80,81,82,116,117,118,119,120,122,123,125,191,192,193,194,199,200,233,234,235,236,237,238,239,240,241,242,243,244,245,249,250,252,253,254,287,289,290,291,292,293,294,295,296,297,298,308,309,310,316,317,318,319,320,321,324,325,326,361,362,395,396,398,399,402,403,404,405,406,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,425,433,435,436,437,439,440,441,442,443,476,510,511,512,513,514,515,516,517,518,552,553,554,555,556,557,603,608,617,621,622,660,720,725,767,776,810,815,826,849,850,865,870,872,914,919,930]","IP:port from which device connecting to the channel","{}",160
"5","rtc.timestamp","number","seconds","[13,425]","RTC (real-time clock, device time) timestamp","{""13"":[""Protocol Number 0x70""],""425"":[""Message type 0x04""]}",2
"6","send.timestamp","number","seconds","[24,26,395,406,555,556,720]","Message send timestamp","{""24"":[""Data field %ST""],""395"":[""MessageUTC""],""406"":[""msg_time""],""555"":[""send.timestamp""],""556"":[""createdDateTime""],""720"":[""createdDateTime""]}",7
"7","server.timestamp","number","seconds","[1,5,7,9,11,13,14,15,16,17,20,22,23,24,25,26,30,33,34,35,37,38,39,42,43,44,45,46,80,81,82,116,117,118,119,120,122,123,125,191,192,193,194,199,200,233,234,235,236,237,238,239,240,241,242,243,244,245,249,250,252,253,254,287,289,290,291,292,293,294,295,296,297,298,308,309,310,316,317,318,319,320,321,324,325,326,361,362,395,396,398,399,402,403,404,405,406,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,425,433,435,436,437,439,440,441,442,443,476,510,511,512,513,514,515,516,517,518,552,553,554,555,556,557,603,608,617,621,622,660,720,725,767,776,810,815,826,849,850,865,870,872,914,919,930]","Timestamp when server received a message","{}",160
"8","protocol.id","number","","[1,5,7,9,11,13,14,15,16,17,20,22,23,24,25,26,30,33,34,35,37,38,39,42,43,44,45,46,80,81,82,116,117,118,119,120,122,123,125,191,192,193,194,199,200,233,234,235,236,237,238,239,240,241,242,243,244,245,249,250,252,253,254,287,289,290,291,292,293,294,295,296,297,298,308,309,310,316,317,318,319,320,321,324,325,326,361,362,395,396,398,399,402,403,404,405,406,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,425,433,435,436,437,439,440,441,442,443,476,510,511,512,513,514,515,516,517,518,552,553,554,555,556,557,603,608,617,621,622,660,720,725,767,776,810,815,826,849,850,865,870,872,914,919,930]","ID of protocol","{}",160
"9","device.id","number","","[1,5,7,9,11,13,14,15,16,17,20,22,23,24,25,26,30,33,34,35,37,38,39,42,43,44,45,46,80,81,82,116,117,118,119,120,122,123,125,191,192,193,194,199,200,233,234,235,236,237,238,239,240,241,242,243,244,245,249,250,252,253,254,287,289,290,291,292,293,294,295,296,297,298,308,309,310,316,317,318,319,320,321,324,325,326,361,362,395,396,398,399,402,403,404,405,406,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,425,433,435,436,437,439,440,441,442,443,476,510,511,512,513,514,515,516,517,518,552,553,554,555,556,557,603,608,617,621,622,660,720,725,767,776,810,815,826,849,850,865,870,872,914,919,930]","ID of device that received a message","{}",160
"10","device.name","string","","[1,5,7,9,11,13,14,15,16,17,20,22,23,24,25,26,30,33,34,35,37,38,39,42,43,44,45,46,80,81,82,116,117,118,119,120,122,123,125,191,192,193,194,199,200,233,234,235,236,237,238,239,240,241,242,243,244,245,249,250,252,253,254,287,289,290,291,292,293,294,295,296,297,298,308,309,310,316,317,318,319,320,321,324,325,326,361,362,395,396,398,399,402,403,404,405,406,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,425,433,435,436,437,439,440,441,442,443,476,510,511,512,513,514,515,516,517,518,552,553,554,555,556,557,603,608,617,621,622,660,720,725,767,776,810,815,826,849,850,865,870,872,914,919,930]","Name of device that received a message","{""810"":[""Tag 0x2400 of Frame Type 0x0101"",""Tag 0x2400 of Frame Type 0x0102"",""Tag 0x2400 of Frame Type 0x0103"",""Tag 0x2400 of Frame Type 0x0104"",""Tag 0x2406 of Frame Type 0x0101"",""Tag 0x2406 of Frame Type 0x0102"",""Tag 0x2406 of Frame Type 0x0103"",""Tag 0x2406 of Frame Type 0x0104""]}",160
